manufacturer_id,seller_id,name,price,winter,truck,brand
ШЛ-037, ,185/70 R14 Green-Max Eco Touring (Linglong),790.00,0,0,Ling Long
ШЛ-038, ,165/70 R14 Green-Max Eco Touring (Linglong),670.00,0,0,Ling Long
ШЛ-039, ,175/70 R14 Green-Max Eco Touring (Linglong),750.00,0,0,Ling Long
ШГТ-078, ,165 R13C LMC9 (Linglong),830.00,0,0,Ling Long
ШГТ-079, ,235/65 R16C RADIAL666 (Linglong),"1,480.00",0,0,Ling Long
ШГТ-080, ,215/65 R16C RADIAL666 (Linglong),"1,480.00",0,0,Ling Long
ШГТ-081, ,195/75 R16C RADIAL666 (Linglong),"1,380.00",0,0,Ling Long
ШГТ-082, ,205/65 R16C RADIAL666 (Linglong),"1,340.00",0,0,Ling Long
16256, ,185/60 R15 Cross Wind HP10 (Linglong),790.00,0,0,Ling Long
16257, ,185/65 R15 Cross Wind HP10 (Linglong),790.00,0,0,Ling Long
16298, ,185/70 R14 Cross Wind HP10 (Linglong),790.00,0,0,Ling Long
16289, ,195/70 R14 Cross Wind HP10 (Linglong),860.00,0,0,Ling Long
16283, ,195/60 R15 Cross Wind HP10 (Linglong),820.00,0,0,Ling Long
16284, ,195/65 R15 Cross Wind HP10 (Linglong),840.00,0,0,Ling Long
16262, ,205/60 R15 Cross Wind HP10 (Linglong),860.00,0,0,Ling Long
16263, ,205/65 R15 Cross Wind HP10 (Linglong),890.00,0,0,Ling Long
16264, ,205/55 R16 Cross Wind HP10 (Linglong),980.00,0,0,Ling Long
16267, ,215/60 R16 Cross Wind HP10 (Linglong),"1,220.00",0,0,Ling Long
16265, ,205/60 R16 Cross Wind HP10 (Linglong),"1,090.00",0,0,Ling Long
16266, ,215/55 R17 Cross Wind HP10 (Linglong),"1,290.00",0,0,Ling Long
16268, ,215/60 R17 Cross Wind HP10 (Linglong),"1,340.00",0,0,Ling Long
16269, ,215/65 R16 Cross Wind HP10 (Linglong),"1,280.00",0,0,Ling Long
16270, ,215/65 R17 Cross Wind HP10 (Linglong),"1,360.00",0,0,Ling Long
